"País","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Culturapolítica","Continente","2019_infl","2019_med","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"Guyana",3.95734823469647,26.606,73.394,0.742878546557036,6.67,9.17,5.71,5,"América",4.19271970835153,NA,NA,11.9060001373291,5.88842,11.9060001373291,1.55143529713193e-318
"Haití",403.59854862119,55.278,44.722,2.97438496504292,4.91,5.58,2.93,6.25,"América",-2.16537840080001,NA,NA,13.5920000076294,2.78047,13.5920000076294,2.45811937303185e-317
"Honduras",85.6870319063366,57.096,42.904,2.79258669978111,5.63,8.5,4.64,4.38,"América",0.982330294647582,NA,87.20524,5.64799976348877,6.0812,5.64799976348877,2.22314916285444e-317
"Hungría",107.981486799956,71.351,28.649,0.279085901553299,6.63,8.75,6.07,6.25,"Europa",4.98809653541682,NA,NA,3.70799994468689,NA,3.70799994468689,2.33785786604634e-317
"India",454.938072575247,34.03,65.97,2.30896547809895,6.9,9.17,6.79,5.63,"Asia",3.963162536608,NA,74.37299,5.32999992370605,NA,5.32999992370605,2.40917288731779e-315
"Indonesia",147.75219008926,55.325,44.675,2.34486951482515,6.5,7.95,7.15,5.65,"Asia",3.87516568673441,NA,95.65856,4.51100015640259,NA,4.51100015640259,6.55809917286161e-316
"Irlanda",70.6534475250399,63.17,36.83,1.5925156797727,9.23,9.58,7.86,10,"Europa",3.96638512430482,NA,NA,5.73999977111816,NA,5.73999977111816,1.17862126583046e-317
"Islandia",3.51841396508728,93.813,6.187,2.72089370362867,9.58,10,9.29,10,"Europa",-0.504942726891898,NA,NA,2.7039999961853,NA,2.7039999961853,1.05186081933956e-318
"Israel",410.480591497227,92.418,7.58199999999999,2.01538441058595,7.79,9.17,7.5,7.5,"Asia",1.56461292657069,NA,NA,3.99799990653992,NA,3.99799990653992,2.02706340120167e-317
"Italia",205.418372203713,70.438,29.562,0.228197851468404,7.71,9.58,6.07,6.88,"Europa",0.50812853467221,NA,99.15576,10.6099996566772,NA,10.6099996566772,1.28626354571615e-316
"Jamaica",270.993074792244,55.674,44.326,1.01130784740472,7.02,8.75,7.14,6.25,"América",0.241496310220327,NA,NA,9.10400009155273,5.40731,9.10400009155273,7.27947923466513e-318
"Japón",347.073458415624,91.616,8.384,-0.114218709913591,7.99,8.75,8.21,7.5,"Asia",0.864738282536948,NA,NA,2.40000009536743,NA,2.40000009536743,3.37735222227049e-316
"Jordania",112.14249831043,90.979,9.021,2.04748515667235,3.93,3.58,4.29,4.38,"Asia",0.528992662022816,NA,98.22711,14.9589996337891,3.58851,14.9589996337891,1.27452039581954e-317
"Kirguistán",32.9655891553702,36.351,63.649,2.58628057143274,5.11,6.58,2.93,4.38,"Asia",2.3366844744131,NA,99.586,5.96000003814697,NA,5.96000003814697,1.26723490380596e-317
"Kuwait",232.172390572391,100,0,1.98246273293475,3.85,3.17,4.29,4.38,"Asia",-1.25290739062133,NA,96.05647,2.07599997520447,NA,2.07599997520447,1.1774814563855e-317
"Letonia",30.9934705693149,68.142,31.858,-0.680734206500191,7.38,9.58,6.07,6.88,"Europa",2.96601070085023,NA,99.88931,7.41200017929077,NA,7.41200017929077,4.94177304677207e-318
"Líbano",669.494134897361,88.593,11.407,0.727747260731819,4.63,3.92,2.21,5.63,"Asia",-5.7306014602693,NA,95.06944,6.14300012588501,NA,6.14300012588501,1.17661782963657e-317
"Liberia",50.0309073920266,51.151,48.849,3.34403640334755,5.35,7.42,2.57,5.63,"África",-4.62158849206382,NA,NA,2.93199992179871,2.58412,2.93199992179871,1.06989965013487e-317
"Libia",3.79563238119054,80.102,19.898,1.83231214599096,2.19,1,0.36,5,"África",1.03992403176684,NA,NA,18.4680004119873,NA,18.4680004119873,1.17617366462096e-317
"Lituania",44.7230757742448,67.679,32.321,-0.713094844211595,7.5,9.58,6.43,6.25,"Europa",4.4785811308836,NA,NA,6.14699983596802,NA,6.14699983596802,7.27591208070216e-318
"Luxemburgo",250.185185185185,90.981,9.01900000000001,2.20836515702366,8.81,10,8.93,8.75,"Europa",0.325616690529912,NA,NA,5.58500003814697,NA,5.58500003814697,1.49564046374708e-318
"Macedonia del Norte",82.5915146708961,57.963,42.037,0.417819582823749,5.87,6.5,5.36,3.75,"Europa",3.52568353038801,NA,NA,20.7360000610352,NA,20.7360000610352,4.74235827079762e-318
"Madagascar",45.1398556204881,37.191,62.809,4.48480404056497,5.22,6.08,3.57,5.63,"África",2.05290652806265,NA,74.80432,1.68900001049042,3.23481,1.68900001049042,6.62502604634573e-317
"Malasia",95.9628214883579,76.036,23.964,2.13016306751883,6.88,7.75,7.86,6.25,"Asia",2.9548393838154,NA,94.85441,3.34999990463257,4.53477,3.34999990463257,7.59948851787038e-317
"Malta",1514.46875,94.612,5.38800000000001,3.56178437178253,8.21,9.17,8.21,8.75,"Europa",0.641326286211054,NA,94.50319,3.71600008010864,NA,3.71600008010864,1.16391490781635e-318
"Marruecos",80.7285189334528,62.453,37.547,2.12728534350062,4.99,5.25,4.64,5.63,"África",1.03639557284593,NA,73.75001,9.07800006866455,NA,9.07800006866455,5.88842110463279e-317
"Mauricio",623.30197044335,40.793,59.207,-0.0631393851909479,8.22,9.17,8.21,8.75,"África",3.51740494356467,NA,91.32539,6.65700006484985,4.83459,6.65700006484985,3.00763944102796e-318
"Mauritania",4.27216357815077,53.672,46.328,4.37299545808061,3.82,3,3.57,3.13,"África",3.06609884049034,NA,NA,9.46399974822998,NA,9.46399974822998,5.97892553183493e-318
"México",64.9146264050001,80.156,19.844,1.48761995074654,6.19,8.33,6.07,3.13,"América",-1.22945029760103,NA,95.37991,3.28299999237061,NA,3.28299999237061,2.77927059016433e-316
"Mongolia",2.04060866654651,68.445,31.555,1.91587989993137,6.5,9.17,5.71,5,"Asia",3.30820787171284,NA,98.42312,6.25400018692017,NA,6.25400018692017,6.51846003906294e-318
"Montenegro",46.2622304832714,66.813,33.187,0.480793341517984,5.74,6.08,5.36,4.38,"Europa",3.63579840405981,NA,98.84718,15.1750001907349,NA,15.1750001907349,1.36864088948359e-318
"Mozambique",37.508535313716,35.988,64.012,4.40559134724532,3.85,3.58,2.14,5,"África",-0.705129546125846,NA,NA,3.23699998855591,5.59847,3.23699998855591,6.31041788878082e-317
"Namibia",2.97374558175127,50.032,49.968,3.95629680059715,6.25,5.67,5.36,5.63,"África",-2.96811863603789,NA,91.52727,19.8770008087158,NA,19.8770008087158,4.50339848053005e-318
"Nepal",195.939107080572,19.74,80.26,3.72181839256581,5.18,4.33,5.36,5.63,"Asia",5.04337221355567,NA,67.90843,1.35000002384186,5.16365,1.35000002384186,8.08266051028648e-317
"Nicaragua",53.7270483629716,58.522,41.478,1.63714154226712,3.63,2.67,1.86,5.63,"América",-5.05315805906093,NA,NA,5.19999980926514,NA,5.19999980926514,1.47844500300922e-317
